#redshift I_CII[Jy/sr] I_CO10[Jy/sr] I_CO21[Jy/sr] I_CO32[Jy/sr] I_CO43[Jy/sr] I_CO54[Jy/sr] I_CI10[Jy/sr] I_CI21[Jy/sr]
0.0 1279.453175069103 16.36178662657474 59.05559177109873 88.55590357365648 78.67703765493168 42.776967079779425 15.551691681159392 11.130391470119388
0.1 1543.8672171773862 18.392167074729212 67.73827793243713 104.01833871624298 95.53452716794997 54.82761766237154 18.800179528037482 13.875331670058701
0.2 1816.6240251858144 20.637535312082992 77.55039898399572 122.03361998101342 115.70211999802076 69.16356461474273 22.881157107829576 17.693147347005898
0.30000000000000004 2211.6355814136728 23.86765529933348 91.62047788722033 148.28954358268064 146.7988401942777 94.3298929687075 27.952589996386624 22.71525240441276
0.4 2448.44746895235 25.268367206155045 98.44943452995035 162.01418093948584 163.54501543920628 107.65534220384421 31.295706453972898 26.25072322422507
0.5 2722.015162686208 27.23504090051905 107.83422784849628 180.71642214000363 186.65766754050827 127.06863037999028 35.76295457914092 31.251864062068833
0.6000000000000001 3017.5706539689613 28.760158400617442 115.73649192118262 198.43667542952676 212.16744784286755 151.83426752843482 39.86956474611726 36.46481333197736
0.7000000000000001 3461.123711940031 30.92499393630549 126.31521462490153 221.31971200245295 244.33993817230004 182.46905195206853 44.846423288707456 42.89257124183531
0.8 3812.5699711882085 32.49079242353153 134.82799048514053 241.44847179092002 275.3369573288544 215.16350072690963 49.80341100602403 50.173552226430154
0.9 4155.909293612969 33.909296810015455 142.79175252211164 260.804521432541 306.0784697688189 249.37410479639365 54.3145065777435 57.26064239221265
1.0 4567.980733452755 35.53865936814415 152.20132449112296 284.4034519500915 345.03958753127984 294.7126910075513 60.06441424237417 66.69934511316643
1.1 5114.56644082491 38.530371752123365 166.3949206619689 315.0095293004095 389.84322209531103 342.3156756491196 66.08209885283819 76.16198254851199
1.2000000000000002 5346.638204275278 39.06348806264856 170.6796965194414 328.33051610121674 416.35577098759916 379.774683667876 69.97187921740017 84.37840993097414
1.3 5513.790648443871 38.950175476980746 171.54691765847897 333.3276009006407 428.53359802989655 398.1643691143847 73.08129365578657 90.79452643459229
1.4000000000000001 5642.256703913476 38.98168156291649 173.25495511217733 340.80136692672687 446.17889251783674 426.04342173736666 75.55373571895474 97.45900383276478
1.5 5666.8619410585 37.97113345502471 170.00888753193428 337.3895698398239 447.01606392749375 434.17562522086894 76.93445246480655 101.93821519811101
1.6 5726.58819122731 37.59530481957452 170.12296266818032 342.12090628709564 461.9326089916395 461.2922406585224 80.1301485890381 110.54919994482363
1.7000000000000002 5691.939093283001 36.49369817188071 166.1974613980127 336.90144153982396 459.82225165235667 465.8355321590334 79.84024002877828 112.53461390092384
1.8 5716.7735079586755 35.797499837572055 164.48371496318683 336.967890663443 466.5984933914804 482.59944873758167 82.31157246906105 119.73512923746459
1.9000000000000001 5589.052757462835 34.44827113017195 159.51738841930134 329.9462254351939 462.90500882893997 487.4229928537579 81.8177575576338 122.49392215992113
2.0 5568.046533909794 33.54876560211555 156.68365292077112 327.2901599295004 465.2681920069721 499.0663047775655 83.29208137293283 128.25841912815417
2.1 5253.3179077463055 30.852002399050924 145.11823292669817 305.0013056568107 436.6506169670577 472.41230718596154 80.78317034925993 127.03969652125554
2.2 5211.475965766307 29.511345413107154 139.8865403070198 296.285041864592 428.3395304994381 469.53803212857275 82.17369593618653 132.85839649330526
2.3000000000000003 4906.259521916938 27.232587089676212 130.18349095096585 277.7588631453424 405.04638210413583 449.16447588828873 80.419987192288 133.321228646836
2.4000000000000004 4798.651003988991 25.771023457844283 124.13362207618192 266.7673851226232 392.4217390436953 440.0101658105875 80.34423938452574 136.25790805568064
2.5 4540.245629326147 23.80588021495698 115.58760704613304 250.1573606243703 371.0191361688776 420.42492478521666 78.10511907034793 135.331795231489
2.6 4276.210723029712 21.87081029668225 107.04314001632743 233.2488986991741 348.6168579187899 398.90038454099283 76.08739006861882 134.70855984590006
2.7 4028.4834403627756 19.996175175086147 98.60402767511482 216.20989162420474 325.39298444125643 375.5168847362018 73.52706424402282 132.493893438144
2.8000000000000003 3843.3275948794912 18.57011268597964 92.33378941090078 203.92059282468324 309.4142727733998 360.8163455806396 72.48884125648951 133.4944132439581
2.9000000000000004 3530.223105963843 16.704232431502724 83.68910442651267 185.88801845687237 283.6901211971471 333.10060839059463 68.5283083357373 128.02743689694458
3.0 3317.0560080243854 15.225573719444412 76.82804016691769 171.63396214469014 263.5007045116403 311.52731973277986 65.88323452331498 125.12506555716654
3.1 3065.786620920168 13.722836935130546 69.83301860082247 157.0267208767401 242.7435630384465 289.51634950861296 62.85228037874511 121.37613156474889
3.2 2904.5985648581463 12.614485057636463 64.60435707711918 146.03126797983236 227.00774127885336 272.54160020378936 60.271777569053505 118.10958273214266
3.3000000000000003 2665.943235634217 11.306638650031143 58.31313472773882 132.4889893796342 207.02855468323582 250.13427977206558 56.479462124305144 112.13191546087921
3.4000000000000004 2460.799665219496 10.148332774958634 52.79358758552482 120.70477472133437 189.77802698654568 231.00592109966001 53.7806884212299 108.39472661870684
3.5 2280.4504057416507 9.17466706878711 48.060201749541335 110.43206309902993 174.46632448899973 213.536679787495 50.725431656715394 103.37160467465591
3.7 1911.7624021311672 7.247840236046378 38.564206147267285 89.56957817335969 142.87255326351257 176.74896199824343 44.517865041482125 92.9812328881111
3.8000000000000003 1767.943790398462 6.52653473276958 34.921997851917595 81.41870107727947 130.30954696245976 161.7865347726645 41.49838877133562 87.30857365752922
